"Name","Platform","Compiles","CompilesDouble","Uses","UsesDouble","PermutationString"
"Globals","0","5610","0","0","0",""
"","0","64","99","0","0",""
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","0","2","2","Compiling ControlRigGizmoMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","7","0","9","9","Compiling M_DynamicMeshComponentVtxColor: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","0","6","6","Compiling GizmoMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","0","2","2","Compiling RemoveSurfaceMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithStaticLighting}"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","88","0","88","88","Compiling m_SimpleVolumetricCloud: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Additive, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithVolumetricCloud}, StaticSwitch'UseNoise32-1'=False"
"/Game/VFX/Indicator/PlayerCircle_Ma.PlayerCircle_Ma","0","20","0","20","20","Compiling PlayerCircle_Ma: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraSprites}"
"/Game/Materials/Weapon_MM.Weapon_MM","0","6","0","6","6","Compiling Weapon_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSplineMeshes,bUsedWithNanite}, StaticSwitch'Alpha Base Color Map  Switch2-1'=False, StaticSwitch'Alpha Metallic Map Switch2-1'=False, StaticSwitch'Alpha Roughness Map Switch2-1'=False, StaticSwitch'Base Color Map Switch2-1'=True, StaticSwitch'Base Color Variation Switch2-1'=False, StaticSwitch'Blue Base Color Map  Switch2-1'=False, StaticSwitch'Blue Metallic Map Switch2-1'=False, StaticSwitch'Blue Roughness Map Switch2-1'=False, StaticSwitch'Detail Normal UV Channel2-1'=True, StaticSwitch'Emissive Map Switch2-1'=True, StaticSwitch'Green Base Color Map  Switch2-1'=False, StaticSwitch'Green Metallic Map Switch2-1'=False, StaticSwitch'Green Roughness Map Switch2-1'=False, StaticSwitch'Main Material UV Channel2-1'=True, StaticSwitch'Metallic Map Switch2-1'=True, StaticSwitch'Metallic Variation Switch2-1'=False, StaticSwitch'Micro Normal Map2-1'=False, StaticSwitch'Normal Variation Switch2-1'=False, StaticSwitch'Red Base Color Map  Switch2-1'=False, StaticSwitch'Red Metallic Map Switch2-1'=False, StaticSwitch'Red Roughness Map Switch2-1'=False, StaticSwitch'Roughness Map Switch2-1'=True, StaticSwitch'Roughness Variation Switch2-1'=False, StaticSwitch'Variation Mask UV Channel2-1'=False"
"/Game/Materials/VAT_MM/VAT_SoftBody_MM.VAT_SoftBody_MM","0","22","0","24","24","Compiling VAT_SoftBody_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=0, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=1, Usage={bUsedWithNiagaraMeshParticles}, StaticSwitch'Auto Playback2-1'=True, StaticSwitch'Compressed Normals Are in Position Alpha2-1'=False, StaticSwitch'Debug Embedded Data2-1'=False, StaticSwitch'Interframe Interpolation2-1'=False, StaticSwitch'Interpolate Color2-1'=False, StaticSwitch'Interpolate Spare Color2-1'=False, StaticSwitch'Positions Require Two Textures2-1'=False, StaticSwitch'Support Legacy Parameters and Instancing2-1'=False, StaticSwitch'Support Surface Normal Maps2-1'=True, StaticSwitch'Two Sided Normals2-1'=False, StaticSwitch'Use Compressed Normals2-1'=False"
"/Game/Materials/VAT_MM/VAT_SoftBody_MM.VAT_SoftBody_MM","0","22","0","24","24","Compiling VAT_SoftBody_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=0, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=1, Usage={bUsedWithNiagaraMeshParticles}, StaticSwitch'Auto Playback2-1'=True, StaticSwitch'Compressed Normals Are in Position Alpha2-1'=False, StaticSwitch'Debug Embedded Data2-1'=False, StaticSwitch'Interframe Interpolation2-1'=True, StaticSwitch'Interpolate Color2-1'=False, StaticSwitch'Interpolate Spare Color2-1'=False, StaticSwitch'Positions Require Two Textures2-1'=False, StaticSwitch'Support Legacy Parameters and Instancing2-1'=True, StaticSwitch'Support Surface Normal Maps2-1'=True, StaticSwitch'Two Sided Normals2-1'=False, StaticSwitch'Use Compressed Normals2-1'=False"
"/Game/Raw_Textures/Character_MM.Character_MM","0","6","0","6","6","Compiling Character_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}, StaticSwitch'Invert_Roughness2-1'=False, StaticSwitch'Use Base Metallic2-1'=False, StaticSwitch'Use Base Roughness2-1'=False, StaticSwitch'Use Basecolor Only2-1'=False, StaticSwitch'Use Emission Map2-1'=False"
"/Game/Raw_Textures/Character_MM.Character_MM","0","6","0","6","6","Compiling Character_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}, StaticSwitch'Invert_Roughness2-1'=False, StaticSwitch'Use Base Metallic2-1'=False, StaticSwitch'Use Base Roughness2-1'=False, StaticSwitch'Use Basecolor Only2-1'=False, StaticSwitch'Use Emission Map2-1'=True"
"/Game/VFX/SwordSwipe/Stab.Stab","0","15","0","15","15","Compiling Stab: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithNiagaraRibbons,bUsedWithNiagaraMeshParticles}"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","0","3","3","Compiling Xray: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","0","3","3","Compiling PhAT_UnselectedMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","0","3","3","Compiling PhAT_NoCollisionMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","0","5","5","Compiling DebugMeshMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_Unlit, BlendMode=BLEND_Translucent, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","0","14","14","Compiling NaniteHiddenSectionMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=1, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=1, Usage={}"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","0","6","6","Compiling DataflowVertexMaterial: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={bUsedWithSkeletalMesh}"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Grassy_2'=Weightmap0, StaticTerrainLayer'Rocky'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Rocky'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","1","0","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0, StaticTerrainLayer'Rocky'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","1","0","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0, StaticTerrainLayer'Rocky'=Weightmap1, StaticTerrainLayer'Sandy'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Rocky'=Weightmap0, StaticTerrainLayer'Sandy'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Sandy'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Grassy_2'=Weightmap0, StaticTerrainLayer'Sandy'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","8","0","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_1'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","2","11","11","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","4","0","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0, StaticTerrainLayer'Rocky'=Weightmap0, StaticTerrainLayer'Sandy'=Weightmap0"
"/Game/Materials/Landscape_MM.Landscape_MM","0","11","0","4","0","Compiling Landscape_MM: Platform=PCD3D_SM5, Usage=LightingModel=MSM_DefaultLit, BlendMode=BLEND_Opaque, SpecialEngine=0, TwoSided=0, TSNormal=1, Masked=0, Distorted=0, WritesEveryPixel=1, ModifiesMeshPosition=0, Usage={}, StaticTerrainLayer'Course'=Weightmap0, StaticTerrainLayer'Grassy_1'=Weightmap0, StaticTerrainLayer'Grassy_2'=Weightmap0, StaticTerrainLayer'Sandy'=Weightmap0"
