"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","751.597778","0","128"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","672.632935","0","112"
"/Game/Characters/Rabot/aiStandardSurface5.aiStandardSurface5","0","9","9","1","84.166260","0","9"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","51.420784","0","6"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","27.722515","0","9"
"/InterchangeAssets/gltf/M_Default.M_Default","0","110","128","6","653.563049","0","128"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","52.600853","0","6"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","13.269363","0","7"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","7.400402","0","7"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","46","52","3","76.306816","0","52"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","99.709816","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","98.752884","0","32"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","251.905060","0","28"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","3.668274","0","2"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","9.049214","0","13"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","117.429855","0","92"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","4.519259","0","5"
"/Game/Graphics/UI/Intro/Intro_Mat.Intro_Mat","0","12","12","1","9.339056","0","12"
"/Game/VFX/Dash_Attack_Vat/Trail_Mat.Trail_Mat","0","18","18","1","69.316666","0","18"
"/Game/Weaponry/Shield/Shield_Ma.Shield_Ma","0","26","30","1","45.251575","0","30"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","2.190839","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","2.365260","0","5"
"/Game/Characters/Handyong/Hair_1_002.Hair_1_002","0","28","32","1","79.322845","0","32"
"/Game/Characters/Handyong/Main_Mat.Main_Mat","0","6","6","1","43.750404","0","6"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","0","23","25","1","31.224028","0","25"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","0","13","13","1","10.002308","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","10.803222","0","13"
"/Game/VFX/SpecialAttack_2/SpecialRing_Ma.SpecialRing_Ma","0","28","32","1","79.410378","0","32"
"/Game/VFX/Heal/HealingCircle.HealingCircle","0","28","32","1","0.000000","0","32"
"/Game/VFX/Heal/HealingFX2.HealingFX2","0","12","12","1","31.598404","0","12"
"/Game/VFX/Heal/HealingFX.HealingFX","0","12","12","1","15.749459","0","12"
"/Game/VFX/SwordSwipe/SwordTrail.SwordTrail","0","10","10","1","10.860353","0","10"
"/Game/VFX/GetEXP_Items_etc/GetEXP_Ma.GetEXP_Ma","0","28","32","1","0.000000","0","32"
"/Game/VFX/GetEXP_Items_etc/GetPoints_Ma.GetPoints_Ma","0","28","32","1","0.000000","0","32"
"/Game/VFX/Shield_Spark/Soark2.Soark2","0","12","12","1","0.000000","0","12"
"/Game/VFX/Shield_Spark/Soark1.Soark1","0","12","12","1","0.000000","0","12"
"/Game/VFX/Torch_Fire/FireMaterial_1.FireMaterial_1","0","12","12","1","0.000000","0","12"
"/Game/Characters/Handyong/Clothing.Clothing","0","12","14","1","57.165787","0","14"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","10","10","1","12.856377","0","10"
"/Game/Characters/Handyong/Hair_1_001.Hair_1_001","0","28","32","1","80.461792","0","32"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","131.883102","0","63"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","0","23","25","1","27.492155","0","25"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","7","7","1","6.151890","0","7"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","16","1","28.022097","0","16"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","17","17","1","8.169350","0","17"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","33","33","1","66.018311","0","33"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","199.214005","0","24"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","325","348","1","669.973511","0","0"
"Globals","49","9284","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","5","5","1","10.856835","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","10","12","1","28.044598","0","12"
"","49","64","0","1","0.000000","65","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","8","9","1","12.637793","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","5","5","1","12.750369","0","5"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","17","19","1","50.621883","0","19"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","6","6","1","9.322241","0","6"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","6","6","1","10.700474","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","8","8","1","9.017673","0","8"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","9","9","1","34.233032","0","9"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","22","22","1","130.559708","0","22"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","15","17","1","39.469223","0","17"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","9","10","1","12.385287","0","10"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","40","43","1","90.362259","0","43"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","8","9","1","5.417163","0","9"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","19","21","1","38.666168","0","21"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","70","76","1","200.904236","0","76"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","40","43","1","0.000000","0","43"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","29","29","1","49.321545","0","29"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","6","6","1","18.365118","0","6"
"/Engine/VREditor/TransformGizmo/Main.Main","49","6","6","1","7.285707","0","6"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","6","6","1","15.531740","0","6"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","12","12","1","50.933105","0","12"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","6","6","1","7.256718","0","6"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","49","39","44","1","44.998009","0","44"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","13","13","1","76.412300","0","13"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","15","15","1","23.355745","0","15"
"/Game/Characters/Rabot/aiStandardSurface5.aiStandardSurface5","49","15","15","1","68.091988","0","15"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","13","13","1","65.701309","0","13"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","19","19","1","78.145050","0","19"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","12","12","1","46.876972","0","12"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","9","10","1","10.958747","0","10"
"/ControlRig/M_Manip.M_Manip","49","9","10","1","15.785533","0","10"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","68","74","3","96.927872","0","74"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","5","5","1","4.519134","0","5"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","10.053636","0","7"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","70","76","1","157.050323","0","76"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","63","68","6","43.242580","4","68"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","14.098851","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","65.839897","0","40"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","19","21","1","18.855116","0","21"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","29","29","1","19.732544","0","29"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","41","41","1","122.412857","0","41"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","970","993","1","1816.105469","0","0"
"/Game/Characters/Handyong/Clothing.Clothing","49","15","17","1","23.731113","0","17"
"/Game/Characters/Handyong/Hair_1_001.Hair_1_001","49","35","39","1","43.310841","0","39"
"/Game/VFX/Indicator/PlayerCircle_Ma.PlayerCircle_Ma","49","27","27","1","0.000000","0","27"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","16","16","1","30.142601","0","16"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","31.575863","0","29"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","8.309501","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","8.168210","0","7"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","34.272457","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","15.459345","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","16.640669","0","15"
"/Game/VFX/SpecialAttack_2/SpecialRing_Ma.SpecialRing_Ma","49","38","42","1","33.329262","0","42"
"/Game/VFX/Heal/HealingCircle.HealingCircle","49","38","42","1","0.000000","0","42"
"/Game/VFX/Heal/HealingFX2.HealingFX2","49","18","18","1","26.551735","0","18"
"/Game/VFX/Heal/HealingFX.HealingFX","49","18","18","1","0.000000","0","18"
"/Game/VFX/SwordSwipe/SwordTrail.SwordTrail","49","16","16","1","13.611461","0","16"
"/Game/VFX/GetEXP_Items_etc/GetEXP_Ma.GetEXP_Ma","49","38","42","1","0.000000","0","42"
"/Game/VFX/GetEXP_Items_etc/GetPoints_Ma.GetPoints_Ma","49","38","42","1","0.000000","0","42"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","170","180","6","583.443542","0","180"
"/Game/Graphics/UI/Intro/Intro_Mat.Intro_Mat","49","14","14","1","7.697337","0","14"
"/Game/Characters/Handyong/Hair_1_002.Hair_1_002","49","35","39","1","42.699505","0","39"
"/Game/Characters/Handyong/Main_Mat.Main_Mat","49","9","9","1","21.384167","0","9"
"/Game/Materials/Weapon_MM.Weapon_MM","49","16","16","1","0.000000","0","32"
"/Game/VFX/Shield_Spark/Soark2.Soark2","49","18","18","1","0.000000","0","18"
"/Game/VFX/Shield_Spark/Soark1.Soark1","49","18","18","1","0.000000","0","18"
"/Game/VFX/Torch_Fire/FireMaterial_1.FireMaterial_1","49","18","18","1","0.000000","0","18"
"/Game/VFX/SwordSwipe/Stab.Stab","49","23","23","1","0.000000","0","23"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","14.337338","0","15"
"/Game/Weaponry/Shield/Shield_Ma.Shield_Ma","49","35","39","1","37.212772","0","39"
"/Game/Raw_Textures/Character_MM.Character_MM","49","18","18","2","0.000000","0","18"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","38","42","1","82.037727","0","42"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","38","42","1","84.221931","0","42"
"/Game/Materials/VAT_MM/VAT_SoftBody_MM.VAT_SoftBody_MM","49","62","66","2","0.000000","0","66"
"/InterchangeAssets/gltf/M_Default.M_Default","49","136","154","6","466.415527","0","154"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","136","154","6","513.355164","0","154"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","128","138","6","482.012146","0","138"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","34","34","2","196.789551","0","34"
"/Game/VFX/Dash_Attack_Vat/Trail_Mat.Trail_Mat","49","27","27","1","48.641487","0","27"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","128","138","6","488.950684","0","138"
"/Game/Materials/Landscape_MM.Landscape_MM","49","432","432","24","845.277161","222","552"
"/Game/Materials/Opacity_Mat_MM.Opacity_Mat_MM","49","162","180","3","0.000000","0","240"
"/Game/Raw_Textures/BB_MM.BB_MM","49","38","42","1","0.000000","0","42"
"/Game/Characters/Oryol/NewMaterial.NewMaterial","49","9","9","1","22.904896","0","9"
"/Game/Characters/Oryol/Oryol_Hair.Oryol_Hair","49","35","39","1","43.088932","0","39"
"/Game/Raw_Textures/Rabot_MM.Rabot_MM","49","18","18","2","18.450630","0","18"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","49","29","34","1","32.168251","0","34"
"/Game/Graphics/PlayerUI/TigbiPlant_Mat.TigbiPlant_Mat","49","13","13","1","19.645412","0","13"
"/Game/Raw_Textures/Tandayag_Hair.Tandayag_Hair","49","35","39","1","45.439548","0","39"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","5","5","1","4.511295","0","5"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","5","5","1","4.025896","0","5"
"/Game/Props/Props_MM.Props_MM","49","30","30","2","25.930517","0","30"
"/Game/Props/LFM_Torch.LFM_Torch","49","29","29","1","21.136158","0","29"
"/Game/Materials/Environment_MM.Environment_MM","49","15","15","1","0.000000","0","15"
"/Game/VFX/Dash_Attack_Vat/Indicator_MM.Indicator_MM","49","38","38","1","59.468086","0","38"
